"subject","item","Provo_ID","list","word","word_ID","ended_on","duration","sound","Pool","log_duration"
2,2,3,"A",55,"also","response",305.586000025447,"lyrical","University pool",5.72223124480793
2,2,3,"A",56,"dropped","response",316.965000014112,"lyrical","University pool",5.75879135773152
2,2,3,"A",57,"nationwide.","response",303.495000000577,"lyrical","University pool",5.71536513590117
2,5,12,"A",1,"months","response",2189.61800001725,"lyrical","University pool",7.69148237838013
2,5,12,"A",2,"later,","response",381.081000001752,"lyrical","University pool",5.94301195096065
2,5,12,"A",3,"Michael","response",2924.84000002011,"lyrical","University pool",7.98099505732198
2,5,12,"A",4,"Larson","response",327.060999978799,"lyrical","University pool",5.79014669777771
2,5,12,"A",5,"saw","response",440.813000019523,"lyrical","University pool",6.08862074928115
2,5,12,"A",6,"another","response",342.919999992708,"lyrical","University pool",5.83749718378929
2,5,12,"A",7,"opportunity","response",696.936999979429,"lyrical","University pool",6.54669501927136
2,5,12,"A",8,"to","response",380.321000007098,"lyrical","University pool",5.94101563299183
2,5,12,"A",9,"stack","response",268.161999994074,"lyrical","University pool",5.5915912754777
2,5,12,"A",10,"the","response",328.842000019271,"lyrical","University pool",5.7955773923092
2,5,12,"A",11,"odds","response",306.912999990047,"lyrical","University pool",5.72656431977076
2,5,12,"A",12,"in","response",342.457000003546,"lyrical","University pool",5.83614610238564
2,5,12,"A",13,"his","response",352.192999978201,"lyrical","University pool",5.86417932073171
2,5,12,"A",14,"favour","response",369.698000000441,"lyrical","University pool",5.91268645613742
2,5,12,"A",15,"with","response",290.13399999286,"lyrical","University pool",5.67034288520044
2,5,12,"A",16,"a","response",334.244000011473,"lyrical","University pool",5.81187126521951
2,5,12,"A",17,"dash","response",296.293000012287,"lyrical","University pool",5.69134882963723
2,5,12,"A",18,"of","response",299.531000021379,"lyrical","University pool",5.70221791811359
2,5,12,"A",19,"ingenuity.","response",302.879999990342,"lyrical","University pool",5.71333668742913
2,5,12,"A",20,"He","response",554.258999994257,"lyrical","University pool",6.3176320865139
2,5,12,"A",21,"walked","response",323.57299997739,"lyrical","University pool",5.77942474529229
